id,full_name,age,gender,device_type,ad_position,browsing_history,time_of_day,click
670,User670,22.0,Non-Binary,Desktop,Top,Shopping,Afternoon,1
3044,User3044,38.0,Male,Desktop,Top,Entertainment,Morning,1
5912,User5912,41.0,Non-Binary,Desktop,Side,Education,Night,1
5418,User5418,34.0,Male,Desktop,Bottom,Entertainment,Evening,1
9452,User9452,39.0,Non-Binary,Desktop,Bottom,Social Media,Morning,0
5942,User5942,38.0,Non-Binary,Desktop,Bottom,Social Media,Evening,1
7808,User7808,26.0,Female,Desktop,Top,Entertainment,Morning,1
5065,User5065,40.0,Male,Mobile,Side,Entertainment,Evening,0
7993,User7993,38.0,Non-Binary,Mobile,Bottom,Social Media,Morning,1
4509,User4509,38.0,Non-Binary,Desktop,Bottom,Education,Afternoon,1
2595,User2595,38.0,Non-Binary,Desktop,Bottom,Entertainment,Morning,1
7466,User7466,47.0,Male,Mobile,Bottom,Entertainment,Afternoon,1
8171,User8171,44.0,Non-Binary,Mobile,Side,Education,Afternoon,0
2023,User2023,19.0,Male,Desktop,Bottom,Entertainment,Morning,1
973,User973,38.0,Male,Mobile,Bottom,Entertainment,Morning,1
7529,User7529,41.0,Male,Desktop,Top,Entertainment,Afternoon,0
8127,User8127,38.0,Male,Tablet,Bottom,Entertainment,Morning,1
188,User188,56.0,Female,Tablet,Bottom,News,Morning,1
2124,User2124,38.0,Male,Desktop,Top,Entertainment,Evening,1
7335,User7335,24.0,Female,Tablet,Side,Entertainment,Night,0
5569,User5569,38.0,Non-Binary,Mobile,Bottom,Entertainment,Afternoon,1
2272,User2272,52.0,Female,Tablet,Bottom,News,Morning,1
2722,User2722,39.0,Female,Desktop,Top,Entertainment,Morning,1
316,User316,42.0,Female,Desktop,Top,Entertainment,Night,1
9789,User9789,36.0,Non-Binary,Tablet,Bottom,Entertainment,Morning,1
4890,User4890,43.0,Male,Tablet,Bottom,Education,Afternoon,1
4994,User4994,62.0,Non-Binary,Mobile,Bottom,Entertainment,Night,0
5055,User5055,45.0,Male,Desktop,Bottom,Education,Morning,1
6724,User6724,37.0,Female,Desktop,Top,Entertainment,Evening,1
8253,User8253,38.0,Non-Binary,Desktop,Bottom,Entertainment,Morning,1
4945,User4945,31.0,Male,Tablet,Top,Entertainment,Morning,1
1729,User1729,26.0,Female,Mobile,Top,Entertainment,Afternoon,1
6862,User6862,38.0,Male,Tablet,Side,Entertainment,Morning,1
4985,User4985,37.0,Male,Mobile,Top,News,Evening,0
7361,User7361,41.0,Male,Mobile,Top,Entertainment,Afternoon,0
1524,User1524,24.0,Non-Binary,Mobile,Bottom,Entertainment,Night,1
2542,User2542,58.0,Non-Binary,Mobile,Side,Entertainment,Evening,1
119,User119,59.0,Male,Tablet,Top,Entertainment,Morning,1
5881,User5881,26.0,Non-Binary,Tablet,Top,Entertainment,Morning,1
9642,User9642,38.0,Non-Binary,Desktop,Bottom,Entertainment,Evening,1
1171,User1171,38.0,Male,Mobile,Bottom,Entertainment,Night,1
1612,User1612,40.0,Female,Mobile,Bottom,News,Morning,1
9586,User9586,41.0,Female,Desktop,Bottom,Shopping,Afternoon,0
7661,User7661,48.0,Non-Binary,Mobile,Side,News,Night,1
4228,User4228,38.0,Female,Desktop,Side,Entertainment,Morning,1
5574,User5574,52.0,Female,Desktop,Bottom,Entertainment,Afternoon,1
120,User120,44.0,Non-Binary,Desktop,Side,Entertainment,Night,0
6143,User6143,38.0,Non-Binary,Desktop,Bottom,Entertainment,Afternoon,1
301,User301,38.0,Male,Tablet,Side,Social Media,Morning,1
5301,User5301,38.0,Male,Desktop,Side,Social Media,Morning,1
5439,User5439,38.0,Female,Desktop,Bottom,Social Media,Afternoon,1
9806,User9806,58.0,Male,Tablet,Bottom,Entertainment,Morning,1
9888,User9888,49.0,Male,Mobile,Top,News,Morning,1
4525,User4525,44.0,Non-Binary,Mobile,Top,Entertainment,Morning,0
6153,User6153,30.0,Female,Desktop,Side,Entertainment,Night,1
7498,User7498,38.0,Male,Desktop,Side,Shopping,Afternoon,1
9736,User9736,46.0,Female,Desktop,Bottom,Education,Evening,1
2244,User2244,42.0,Male,Mobile,Top,Entertainment,Evening,0
4952,User4952,41.0,Female,Desktop,Bottom,Entertainment,Night,0
4855,User4855,44.0,Non-Binary,Desktop,Top,Entertainment,Morning,0
9590,User9590,44.0,Non-Binary,Tablet,Bottom,Entertainment,Morning,0
813,User813,38.0,Male,Tablet,Top,Education,Morning,1
4957,User4957,58.0,Male,Desktop,Bottom,Social Media,Evening,1
9431,User9431,38.0,Non-Binary,Mobile,Top,Entertainment,Afternoon,1
